Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Status
airsana-mini-split-cleaning-machine-copy,AIRsana Mini-Split Cleaning Machine,<p>AIRsana complete mini-split cleaning machine with required accessories.</p>,Dynamic AQS,Uncategorized,Pan Strips,STS,true,Title,Default Title,,,,,,,,AS-180,0.0,,0,deny,manual,true,false,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/files/AIRsana900x900.jpg?v=1719938108,1,,false,,,,lb,,active
environaire-sterile-sweep®-remote-mount-rm3-uvc-uvv-triple-germicidal-oxidation-system,EnviroAire IAQ Remote Mount - RM3 UVC/UVV Triple Germicidal/Oxidation System,"<p>- Remote Mount UVC H-lamp unit with 12"" and 16"" sizes available<br>- Three year warranty against lamp defects<br>- Lifetime warranty on all electric components<br>- Auto sensing ballast automatically compensates 120-277VAC 50/60Hz<br>- Suitable for up to a 10 ton AHU<br></p>
<p><span>Notes</span></p>
<ul>
<li>For more information, see our<span></span> <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/SLA_UVC_UVV_Frequently_Asked_Questions_Sheet.pdf?v=1617817352"">UV Frequently Asked Questions</a> <span></span>page <span data-mce-fragment=""1"">or view/download the</span><span data-mce-fragment=""1""></span><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ARS-802_RM_Models_Spec_Sheet_0321.pdf?v=1617810279"" aria-describedby=""a11y-external-message"" data-mce-fragment=""1""> Spec Sheet</a>.</li>
</ul>
<ul></ul>",Dynamic AQS,Uncategorized,Remote Mount UV,ENV,true,Size,"12""",,,,,,,,RM3-12/12/5,4082.013815341,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/files/EnviroRM3-16-16-5Blue.jpg?v=1744038409,1,,false,,,,lb,,active
environaire-sterile-sweep®-remote-mount-rm3-uvc-uvv-triple-germicidal-oxidation-system,,,,,,,,,"16""",,,,,,,,RM3-16/16/5,4082.013815341,,-6,deny,manual,true,true,,,,,,,,,,,,,lb,,
environaire-sterile-sweep®-remote-mount-rm2-dual-uvc-uvv-germicidal,EnviroAire IAQ Remote Mount - RM2 Dual UVC/UVV Germicidal,"<p>- Remote Mount UVC H-lamp unit with 12"" and 16"" sizes available<br>- Three year warranty against lamp defects<br>- Lifetime warranty on all electric components<br>- Auto sensing ballast automatically compensates 120-277VAC 50/60Hz<br>- Suitable for up to a 10 ton AHU<br></p>
<p>Notes</p>
<ul>
<li>For more information, see our <span><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ASV_UVC_UVV_Frequently_Asked_Questions_Sheet.pdf?v=1617748399"">UV</a></span><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/SLA_UVC_UVV_Frequently_Asked_Questions_Sheet.pdf?v=1617817352""> Frequently Asked Questions</a> <span></span>page <span data-mce-fragment=""1"">or view/download the </span><span data-mce-fragment=""1""></span><a data-mce-fragment=""1"" href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ARS-802_RM_Models_Spec_Sheet_0321.pdf?v=1617810279"" aria-describedby=""a11y-external-message"">Spec Sheet</a><a data-mce-fragment=""1"" href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ASV-801_FM_Models_Spec_Sheet_0321.pdf?v=1617747960"" aria-describedby=""a11y-external-message"">.</a>
</li>
</ul>
<ul></ul>",Dynamic AQS,Uncategorized,Remote Mount UV,ENV,true,Size,"12""",,,,,,,,RM2-12/5,4082.013815341,,-34,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/files/EnviroRM2-16-5Blue.jpg?v=1744038306,1,,false,,,,lb,,active
environaire-sterile-sweep®-remote-mount-rm2-dual-uvc-uvv-germicidal,,,,,,,,,"16""",,,,,,,,RM2-16/5,4082.013815341,,-16,deny,manual,true,true,,,,,,,,,,,,,lb,,
environaire-sterile-sweep®-remote-mount-rm2-dual-uvc-germicidal-unit,EnviroAire IAQ Remote Mount - RM2 Dual UVC Germicidal Unit,"<p>- Remote Mount UVC H-lamp unit with 12"" and 16"" sizes available<br>- Three year warranty against lamp defects<br>- Lifetime warranty on all electric components<br>- Auto sensing ballast automatically compensates 120-277VAC 50/60Hz<br>- Suitable for up to a 10 ton AHU</p>
<p><span>Notes</span></p>
<ul>
<li>For more information, see our <span></span><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/SLA_UVC_UVV_Frequently_Asked_Questions_Sheet.pdf?v=1617817352"">UV Frequently Asked Questions</a><span></span> page <span data-mce-fragment=""1"">or view/download the </span><span data-mce-fragment=""1""></span><a aria-describedby=""a11y-external-message"" href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ARS-802_RM_Models_Spec_Sheet_0321.pdf?v=1617810279"" data-mce-fragment=""1"">Spec Sheet</a><a aria-describedby=""a11y-external-message"" href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ASV-801_FM_Models_Spec_Sheet_0321.pdf?v=1617747960"" data-mce-fragment=""1"">.</a>
</li>
</ul>
<ul></ul>",Dynamic AQS,Uncategorized,Remote Mount UV,ENV,true,Size,"12""",,,,,,,,RM2-12/12,4082.013815341,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/files/EnviroRM2-16-16Blue.jpg?v=1744042030,1,,false,,,,lb,,active
environaire-sterile-sweep®-remote-mount-rm2-dual-uvc-germicidal-unit,,,,,,,,,"16""",,,,,,,,RM2-16/16,4082.013815341,,-4,deny,manual,true,true,,,,,,,,,,,,,lb,,
environaire-sterile-sweep®-rm1-5wb-one-5-uvv-oxidation-lamp-unit,"EnviroAire IAQ RM1-5WB, One 5” UVV Oxidation Lamp Unit","<p><span>120/240 volt remote 5"" UVV oxidation unit with ballast (RM1-5WB).</span></p>
<p style=""text-decoration: underline;"">Notes</p>
<ul>
<li>For more information, see our <a href=""/pages/ultraviolet-frequently-asked-questions"">Ultraviolet Frequently Asked Questions</a> page.</li>
</ul>
",Dynamic AQS,Uncategorized,Remote Mount UV,ENV,true,Title,Default Title,,,,,,,,RM1-5WB,3175.010512289,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/files/EnviroRM1-5WBbluecopy.jpg?v=1744042141,1,,false,,,,lb,,active
environaire-sterile-sweep®-remote-mount-rm1-uvc-germicidal-system,EnviroAire IAQ Remote Mount - RM1 UVC Germicidal System,"<p data-mce-fragment=""1"">- Remote Mount UVC H-lamp unit with 12"" and 16"" sizes available<br data-mce-fragment=""1"">- Three year warranty against lamp defects<br data-mce-fragment=""1"">- Lifetime warranty on all electric components<br data-mce-fragment=""1"">- Auto sensing ballast automatically compensates 120-277VAC 50/60Hz<br data-mce-fragment=""1"">- Suitable for up to a 10 ton AHU<br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1"">Notes</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">For more information, see our <span data-mce-fragment=""1""></span><a data-mce-fragment=""1"" href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ASV_UVC_UVV_Frequently_Asked_Questions_Sheet.pdf?v=1617748399"">UV Frequently Asked Questions</a><span data-mce-fragment=""1""></span> page or view/download the <span data-mce-fragment=""1""></span><a data-mce-fragment=""1"" href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ASV-802_RM_Models_Spec_Sheet_0321.pdf?v=1617747959"">Spec Sheet</a><a data-mce-fragment=""1"" href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ASV-801_FM_Models_Spec_Sheet_0321.pdf?v=1617747960"">.</a>
</li>
</ul>
<p><br></p>",Dynamic AQS,Uncategorized,Remote Mount UV,ENV,true,Size,"12""",,,,,,,,RM1-12,4082.013815341,,-6,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/files/EnviroRM1-16Blue.jpg?v=1744042088,1,,false,,,,lb,,active
environaire-sterile-sweep®-remote-mount-rm1-uvc-germicidal-system,,,,,,,,,"16""",,,,,,,,RM1-16,4082.013815341,,-5,deny,manual,true,true,,,,,,,,,,,,,lb,,
environaire-sterile-sweep®-fixed-mount-fm2-uvc-uvv-dual-germicidal-oxidation-system,EnviroAire IAQ Fixed Mount - FM2 UVC/UVV Dual Germicidal/Oxidation System,"<p>- Fixed Mount UVC H-lamp unit with 12"" and 16"" sizes available<br>- Three year warranty against lamp defects<br>- Lifetime warranty on all electric components<br>- Auto sensing ballast automatically compensates 120-277VAC 50/60Hz<br>- Suitable for up to a 10 ton AHU<br></p>
<ul>
<li>For more information, see our <span></span><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/SLA_UVC_UVV_Frequently_Asked_Questions_Sheet.pdf?v=1617817352"">UV Frequently Asked Questions</a><span></span> page or view/download the <span></span><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/SLA-801_FM_Models_Spec_Sheet_0321.pdf?v=1617816821"">Spec Sheet</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ASV-801_FM_Models_Spec_Sheet_0321.pdf?v=1617747960"">.</a>
</li>
</ul>
<ul></ul>",Dynamic AQS,Uncategorized,Fixed Mount UV,ENV,true,Size,"12""",,,,,,,,FM2-12/5,4082.013815341,,-10,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/files/EnviroFM2-16-5Blue.jpg?v=1744042246,1,,false,,,,lb,,active
environaire-sterile-sweep®-fixed-mount-fm2-uvc-uvv-dual-germicidal-oxidation-system,,,,,,,,,"16""",,,,,,,,FM2-16/5,4082.013815341,,-30,deny,manual,true,true,,,,,,,,,,,,,lb,,
environaire-sterile-sweep®-fixed-mount-fm3-uvc-uvv-triple-germicidal-oxidation-system,EnviroAire IAQ Fixed Mount - FM3 UVC/UVV Triple Germicidal/Oxidation System,"<p>- Fixed Mount UVC H-lamp unit with 12"" and 16"" sizes available<br>- Three year warranty against lamp defects<br>- Lifetime warranty on all electric components<br>- Auto sensing ballast automatically compensates 120-277VAC 50/60Hz<br>- Suitable for up to a 10 ton AHU</p>
<p>Notes</p>
<ul>
<li>For more information, see our <span></span><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/SLA_UVC_UVV_Frequently_Asked_Questions_Sheet.pdf?v=1617817352"">UV Frequently Asked Questions</a><span></span> page or view/download the <span></span><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/SLA-801_FM_Models_Spec_Sheet_0321.pdf?v=1617816821"">Spec Sheet</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/ASV-801_FM_Models_Spec_Sheet_0321.pdf?v=1617747960"">.</a>
</li>
</ul>",Dynamic AQS,Uncategorized,Fixed Mount UV,ENV,true,Size,"12""",,,,,,,,FM3-12/12/5,4082.013815341,,-1,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/files/EnviroFM3-16-16-5Blue.jpg?v=1744038164,1,,false,,,,lb,,active
environaire-sterile-sweep®-fixed-mount-fm3-uvc-uvv-triple-germicidal-oxidation-system,,,,,,,,,"16""",,,,,,,,FM3-16/16/5,4082.013815341,,-25,deny,manual,true,true,,,,,,,,,,,,,lb,,
environaire-sterile-sweep®-fm1-5-one-5-uvv-oxidation-unit,"EnviroAire IAQ FM1-5, One 5” UVV Oxidation Unit","<p>120/240 volt fixed mount 5"" oxidation unit (FM1-5)</p>
<p style=""text-decoration: underline;"">Notes</p>
<ul>
<li>For more information, see our <a href=""/pages/ultraviolet-frequently-asked-questions"">Ultraviolet Frequently Asked Questions</a> page.</li>
</ul>
",Dynamic AQS,Uncategorized,Fixed Mount UV,ENV,true,Title,Default Title,,,,,,,,FM1-5,3175.010512289,,-2,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/files/EnviroFM1-5.jpg?v=1744042412,1,,false,,,,lb,,active
pureairx-humidifier-brochure,PureAirX Humidifier Brochure,"<p>Aire Serv Humidifier Brochure.</p>
<p>Order in quantities of 50 up to 200.</p>
<p>To download, please click <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/Humidifier_Brochure_SRT_238.pdf?v=1730321523"">here</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/Humidifier_Brochure_ASV_238.pdf?v=1730321522FM_BRO-252.jpg?v=1719002023SV_FM_10-20_LR2.pdf?v=1617129106""></a>.</p>",Dynamic AQS,Uncategorized,Marketing and Training,SNA,true,Title,Default Title,,,,,,,,B-SRT238,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/files/HumidifierBrochure_SRT_238_900x900_8f1c8a5c-398b-423e-a42b-2ddd0b30090c.jpg?v=1730737540,1,,false,,,,lb,,active
cleand-air-defense-humidifier-brochure,Clean Air Defense Humidifier Brochure,"<p>Clean Air Defense Humidifier Brochure.</p>
<p>Order in quantities of 50 up to 200.</p>
<p>To download, please click <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/Humidifier_Brochure_CADS_238.pdf?v=1730321523"">here</a>.</p>",Dynamic AQS,Uncategorized,Marketing and Training,CAD,true,Title,Default Title,,,,,,,,B-CADS238RH2,0.0,,-351,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/files/HumidifierBrochure_CADS_900x900_e7f19e0e-0205-4dc5-bf37-258dfbeab001.jpg?v=1730737482,1,,false,,,,lb,,active
eco-friendly-home-humidifier-brochure,Eco Friendly Home Humidifier Brochure,"<p>Eco Friendly Home Humidifier Brochure.</p>
<p>Order in quantities of 50 up to 200.</p>
<p>To download, please click <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/Humidifier_Brochure_ECO_238.pdf?v=1730321524"">here</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/Humidifier_Brochure_STS_238.pdf?v=1730321526""></a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/Humidifier_Brochure_ASV_238.pdf?v=1730321522FM_BRO-252.jpg?v=1719002023SV_FM_10-20_LR2.pdf?v=1617129106""></a>.</p>",Dynamic AQS,Uncategorized,Marketing and Training,ECO,true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/files/HumidifierBrochure_ECO_900x900_ee622791-e41c-4d10-9396-485769f83e74.jpg?v=1730737500,1,,false,,,,lb,,active
solaceair-humidifier-brochure,SolaceAir Humidifier Brochure,"<p>SolaceAir Humidifier Brochure.</p>
<p>Order in quantities of 50 up to 200.</p>
<p>To download, please click <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/Humidifier_Brochure_SLA_238.pdf?v=1730321525"">here</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/Humidifier_Brochure_STS_238.pdf?v=1730321526""></a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/Humidifier_Brochure_ASV_238.pdf?v=1730321522FM_BRO-252.jpg?v=1719002023SV_FM_10-20_LR2.pdf?v=1617129106""></a>.</p>",Dynamic AQS,Uncategorized,Marketing and Training,SLA,true,Title,Default Title,,,,,,,,B-SLA238RH2,0.0,,-355,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/files/HumidifierBrochure_SLA_900x900_19234644-b708-415e-bf9e-6a0788091de7.jpg?v=1730737559,1,,false,,,,lb,,active
stratosaire-humidifier-brochure,StratosAire Humidifier Brochure,"<p>StratosAire Humidifier Brochure.</p>
<p>Order in quantities of 50 up to 200.</p>
<p>To download, please click <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/Humidifier_Brochure_STS_238.pdf?v=1730321526"">here</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/Humidifier_Brochure_ASV_238.pdf?v=1730321522FM_BRO-252.jpg?v=1719002023SV_FM_10-20_LR2.pdf?v=1617129106""></a>.</p>",Dynamic AQS,Uncategorized,Marketing and Training,STS,true,Title,Default Title,,,,,,,,B-STS238,0.0,,-200,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/files/HumidifierBrochure_STS_900x900_ce1487bf-63f2-4b9c-864c-87a32c634342.jpg?v=1730737576,1,,false,,,,lb,,active
nexstar-humidifier-brochure,Nexstar Humidifier Brochure,"<p>Nexstar Humidifier Brochure.</p>
<p>Order in quantities of 50 up to 200.</p>
<p>To download, please click <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/Humidifier_Brochure_NEX_238.pdf?v=1730321526"">here</a>.</p>",Dynamic AQS,Uncategorized,Marketing and Training,NEX,true,Title,Default Title,,,,,,,,B-NEX238RH2,0.0,,-1,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/files/HumidifierBrochure_NEX_900x900_467c36fc-4853-4b7c-82b8-4d6f16534fc9.jpg?v=1730737518,1,,false,,,,lb,,active
ars-humidifier-brochure-copy,ARS Humidifier Brochure,"<p>ARS Humidifier Brochure .</p>
<p>Order in quantities of 50 up to 200.</p>
<p>To download, please click <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/Humidifier_Brochure_ARS_238.pdf?v=1730321526"">here</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/Humidifier_Brochure_ASV_238.pdf?v=1730321522FM_BRO-252.jpg?v=1719002023SV_FM_10-20_LR2.pdf?v=1617129106""></a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/THS_ASV_FM_BRO-252.jpg?v=1719002023SV_FM_10-20_LR2.pdf?v=1617129106""></a>.</p>",Dynamic AQS,Uncategorized,Marketing and Training,ARS,true,Count,50,,,,,,,,B-ARS238,0.0,,0,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/files/HumidifierBrochure_ARS_900x900_2eec303e-59e2-4c3e-ba07-69acf5813f70.jpg?v=1730737460,1,,false,,,,lb,,active
ars-humidifier-brochure-copy,,,,,,,,,100,,,,,,,,B-ARS238,0.0,,0,deny,manual,true,true,,,,,,,,,,,,,lb,,
ars-humidifier-brochure-copy,,,,,,,,,150,,,,,,,,B-ARS238,0.0,,0,deny,manual,true,true,,,,,,,,,,,,,lb,,
ars-humidifier-brochure-copy,,,,,,,,,200,,,,,,,,B-ARS238,0.0,,0,deny,manual,true,true,,,,,,,,,,,,,lb,,
aire-serv-humidifier-brochure,Aire Serv Humidifier Brochure,"<p>Aire Serv Humidifier Brochure.</p>
<p>Order in quantities of 50 up to 200.</p>
<p>To download, please click <a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/Humidifier_Brochure_ASV_238.pdf?v=1730321522FM_BRO-252.jpg?v=1719002023SV_FM_10-20_LR2.pdf?v=1617129106"">here</a><a href=""https://cdn.shopify.com/s/files/1/0294/4116/3400/files/THS_ASV_FM_BRO-252.jpg?v=1719002023SV_FM_10-20_LR2.pdf?v=1617129106""></a>.</p>",Dynamic AQS,Uncategorized,Marketing and Training,ASV,true,Title,Default Title,,,,,,,,B-ASV238,0.0,,-450,deny,manual,true,true,,,,,,https://cdn.shopify.com/s/files/1/0294/4116/3400/files/HumidifierBrochure_ASV_238_900x900_4941f149-d46e-4b14-b286-8f81eb65ac58.jpg?v=1730737436,1,,false,,,,lb,,active
